Service,Performance Measure Index,Performance Measure  Name,Alignment with Council Priority Area,2023 Value,2024 Value,Expected Future Value,Story behind the number,Performance Measure Status,Level of alignment,Approved by Service Director on
Land Development & Sales,Performance Measure 3,Number of permanent jobs created,Not Applicable,3124,0,1200,,Not reported,Not Applicable,
Land Development & Sales,Performance Measure 4,Private capital investment (millions of dollars),Not Applicable,262,0,140,,Not reported,Not Applicable,
Land Development & Sales,Performance Measure 5,Amount of serviced industrial land available for sale (acres),Not Applicable,14,64,100,"With the sales launch of Constellation Industrial Park’s Phase 1A in April 2024, the supply of serviced industrial land available has been replenished by an additional 48.98 acres, with just over 64 acres of fully serviced industrial land available for sale or conditionally sold as of June 2024. The supply of serviced industrial land available for sale will continue to increase as development at Constellation progresses with future planned Phases.",Progressing as planned,Primary,07/23/2024
Legal Services,Performance Measure 1,Customer Satisfaction (per cent),Not Applicable,0,0,100,,Not reported,Not Applicable,
Legal Services,Performance Measure 2,Legal Services staff retained (per cent),Not Applicable,98,96,90,"Law’s retention rate had a small decrease for the period January 1 – May 31, 2024. This is in part due to intentional resource allocation and business planning.

Please note that 96.1 is for the entire Business Unit, and not just Legal Services.",Progressing as planned,Not Applicable,07/18/2024
Legal Services,Performance Measure 3,Average number of short-term sickness and accident days per employee per year,Not Applicable,8,3,6,"Law has seen a decrease in the average number of S & A days per employee for the period January 1 – May 31, 2024. This may be attributed to our continued focus on staff wellness and engagement.

Please note that 2.8 is for the entire Business Unit, and not just Legal Services",Progressing as planned,Not Applicable,07/18/2024
Legal Services,Performance Measure 4,Legal work kept in-house annually (per cent),Not Applicable,94,95,95,"The amount of work kept in-house increased from the previous year.  During the first half of 2024, external counsel continued to provide services on high priority capital matters such as Green Line and Event Centre, in addition to other matters.

Engaging external counsel is an effective tool to address capacity limitations, meet demand for legal resources where conflicts exist, ensure appropriate expertise when not available internally, and increase staff knowledge.",Progressing as planned,Not Applicable,07/18/2024
"Records Management, Access & Privacy",Performance Measure 1,On-time FOIP Access Requests Rate (per cent on-time),Not Applicable,97,96,100,"The increase in volume (14%), the complexity of access requests, and staff movements have impacted the capacity to process access requests; however, on-time rates have remained steady.",Progressing as planned,Not Applicable,07/10/2024
Library Services,Performance Measure 1,Annual Library Uses Per Person,Social Equity,29,30,38,"As a per capita measure, this value is directly related to The City’s population growth. The value at year end 2023 was approximately 29.2. Annual Library Uses is comprised of 11 different metrics, the criteria and definition of which are developed in conjunction with other Canadian Library systems. With population growth, changes in this metric would be related to growth in Library assets, such as spaces and lending materials.",Progressing as planned,Primary,07/08/2024
Library Services,Performance Measure 2,Library Operating Cost Per Use (dollars),Social Equity,2,2,1,"This measure has remained consistent with 2022 and 2023 but the goal is to reduce this number. This measure compares the Total Uses to the cost of providing those services where increases to operating costs are offset by increases in Uses. As 2024 is a collective bargaining year, this will impact final costs after the fact and this measure could be negatively impacted.",Progressing as planned,Primary,07/08/2024
Library Services,Performance Measure 3,Annual Library Visits Per Person,Social Equity,5,7,5,"Halfway through 2024, library visits per capita have increased 39 percent. Visits to Library buildings continue to recover from pandemic levels and have now ‘normalized’ to pre-pandemic levels. The Library anticipates that total visitations will continue to increase due to continued population growth. Like other per capita measures, population growth impacts progress on this metric.",Progressing as planned,Primary,07/08/2024
Library Services,Performance Measure 4,Percentage of Calgarians that are  Registered Cardholders,Social Equity,56,56,64,"Members as a Percentage of Population is another per capita measure the service strives to increase. Active members denote those who have used their Library card within the past 36 months. The Library has seen consistent membership growth over the last six quarters, comprised of both new members, and retaining existing members. Persistent in-migration to Calgary is mitigating the attainment of targets for this metric, despite the good membership results achieved.",Progressing as planned,Primary,07/08/2024
Library Services,Performance Measure 5,Overall satisfaction rating with Library services,Social Equity,5,5,5,"This measure is derived from a third-party phone survey conducted semi-annually. The goal is to increase this number. As respondents are selected randomly, they represent a broad spectrum of Library users, engaging with a wide variety of Library services. This measure has remained consistently high since 2019, showing considerable resilience during the years of the pandemic. It is indicative of the quality and breadth of the Library’s offerings.",Progressing as planned,Primary,07/08/2024
Mayor & Council,Performance Measure 1,,Not Applicable,0,0,0,N/A,Not reported,Not Applicable,07/10/2024
Mayor & Council,Performance Measure 2,,Not Applicable,0,0,0,N/A,Not reported,Not Applicable,07/10/2024
Mayor & Council,Performance Measure 3,,Not Applicable,0,0,0,N/A,Not reported,Not Applicable,07/10/2024
Mayor & Council,Performance Measure 4,,Not Applicable,0,0,0,N/A,Not reported,Not Applicable,07/10/2024
Municipal Elections,Performance Measure 1,Voting stations results reported within 60 minutes of the scheduled election day voting station closing time (per cent),Not Applicable,0,0,85,Municipal Election performance measures are only reported during an Election year.,Not reported,Not Applicable,07/10/2024
Municipal Elections,Performance Measure 2,Election Day average voting station wait times (minutes),Not Applicable,0,0,12,Municipal Election performance measures are only reported during an Election year.,Not reported,Not Applicable,07/10/2024
Municipal Elections,Performance Measure 3,Ballots cast by each ballot method (per cent),Not Applicable,0,0,0,Municipal Election performance measures are only reported during an Election year.,Not reported,Not Applicable,07/10/2024
Neighbourhood Support,Performance Measure 1,Community Social Work partners who agree that community social workers effectively address social issues in their neighbourhood (per cent),Social Equity,96,0,90,,Not reported,Primary,
Neighbourhood Support,Performance Measure 2,CAs and social recreation organizations who feel neighbourhood partnership coordinators positively impact their overall level of functioning (per cent),Social Equity,91,0,96,,Not reported,Primary,
Neighbourhood Support,Performance Measure 3,Volunteers who agree that their sense of belonging has increased because of volunteering (per cent),Social Equity,87,0,85,,Not reported,Primary,
Neighbourhood Support,Performance Measure 4,"CAs and social recreation organizations operating on City-owned land with a ""low risk"" rating for organizational health (per cent)",Social Equity,96,0,95,,Not reported,Primary,
Neighbourhood Support,Performance Measure 5,Calgarians who agree that ‘I am regularly involved in neighbourhood and local community events’ (per cent),Social Equity,28,0,30,,Not reported,Primary,
"Organizational Health, Safety & Wellness",Performance Measure 1,Employee Absenteeism (days lost per employee),Not Applicable,10,0,10,,Not reported,Not Applicable,
"Organizational Health, Safety & Wellness",Performance Measure 2,Employee accommodation claims accommodated (per cent),Not Applicable,83,75,76,"There is currently work underway to improve the employee experience, in the health cycle, targeted at supporting employees to return to accommodated work once they are safe and medically able. There is an increased focus on providing guidance to leaders and business units to actively search for accommodation opportunities in their areas, to support healthy and safe returns to the work force.

Note: May 31/2024 results",Progressing as planned,Primary,07/10/2024
"Organizational Health, Safety & Wellness",Performance Measure 3,Mental Health Index - Corporate Employee Survey (index score),Not Applicable,75,0,74,,Not reported,Not Applicable,
Real Estate,Performance Measure 2,Revenue generated by active leasing agreements (millions of dollars),Not Applicable,8,5,6,"Active leasing agreements generated just over $4.5 million in revenue in the first half of 2024 alone. The leasing team continues to focus on renewals and ensuring a fully leased portfolio, including placing increased priority for non-market leases to affordable housing providers and nominal lease offerings to civic and non-profit partners.",Progressing as planned,Primary,07/09/2024
"Organizational Health, Safety & Wellness",Performance Measure 4,"Lost Time Claim Frequency (number of lost time injuries * 200,000 (based on 100 workers working a 40 hour week)/total hours worked))",Not Applicable,5,5,5,"Lost time claims frequency (LTCF) measures the number of lost time injuries that occurred in the workplace and resulted in an employee’s inability to work the next full workday. The three main causes of claims are: (1) contact with object/machinery; (2) motor vehicle accident/incident; (3) slips, trips, and falls. The LTCF has been going down from a high of 5.8 in 2019 to current YTD of 5.1 (12 per cent decrease). OHSW continues to strive for continuous improvement with risk mitigation, education, communications, and targeted engagement across the corporation.

Note: June 2024 YTD results",Progressing as planned,Primary,07/10/2024
"Organizational Health, Safety & Wellness",Performance Measure 5,"Total Recordable Injury Frequency = # of injuries *200,000  hours (based on 100 workers working 40-hour week)/total  exposure hours worked",Not Applicable,9,0,9,,Not reported,Not Applicable,
Parking,Performance Measure 1,Financial Return to the City of Calgary (millions of dollars),Not Applicable,21,18,22,"The estimated financial return to the City of Calgary in 2024 is based on the formula formerly used by the Calgary Parking Authority. This formula is currently under review to be improved and will likely change before the end of 2024. The returns, as calculated, are at 18 percent above the 2024 budgeted return and recovering strongly from the lows experienced during the pandemic.",Progressing as planned,Not Applicable,07/11/2024
Parking,Performance Measure 2,Overall Satisfaction with Parking and Enforcement (per  cent),Not Applicable,71,65,75,"Parking and enforcement satisfaction fell to 65 per cent in 2024, reflecting an expected dip as Residential Parking Permit program moved from a subsidized to user fee funding model. Customers continue to rate The City’s parking facilities, pricing, and overall experience higher than private competitors. New product offerings such as Flex Pass and seasonal promotions such as Summer Deals present a significant opportunity to see improved satisfaction levels over the next two years. Survey methods changed in 2022 so current and historic measures are not directly comparable.",Progressing as planned,Not Applicable,07/11/2024
Parking,Performance Measure 3,"Total Cost per Paid Parking Space Managed (Total cost, per space, for on-street, off-street surface and off-street structure parking) (dollars)",Not Applicable,1669,1718,1772,"The 2024 projected cost per stall has increased by 3 per cent over 2023 amounts primarily due to inflation (3 per cent) and costs that vary with demand such as credit card processing fees, towing expenses, utilities, repairs, and maintenance.",Progressing as planned,Not Applicable,07/11/2024
Parking,Performance Measure 4,"Parking Compliance in Parkades, Surface Lots and On-street areas (per cent)",Not Applicable,96,97,98,"Overall compliance remains high with parkades at 97.8 per cent, surface lots at 95.9 per cent and on-street parking at 96.6 per cent and is expected to stay strong. As enforcement activities return to 2019 levels following the pandemic, we anticipate improved compliance across the network, such as fewer instances of parking in no-parking zones during rush hour. Additionally, our increased focus on enforcement in Residential Parking Permit areas will support the system after recent significant changes.",Progressing as planned,Not Applicable,07/11/2024
Parking,Performance Measure 5,Response Time of High Priority Calls for Service (minutes),Not Applicable,108,58,90,"Efforts to improve response times for high-priority calls are actively ongoing, reflecting our commitment to enhancing service efficiency. Mid-year data for this metric is an estimate due to systems upgrades. These enhancements are expected to lead to better performance tracking and faster response times. High-priority calls include issues like obstructed driveways, road hazards, private property concerns, and service disruptions relating to water services.",Progressing as planned,Not Applicable,07/11/2024
Parks & Open Spaces,Performance Measure 1,"Calgarians' Satisfaction with Parks, Playgrounds and Open Spaces (per cent)",Not Applicable,91,89,93,"Calgary’s parks have consistently scored high since the introduction of the annual Calgarian satisfaction survey. The 89 per cent score is from the 2024 Spring Survey of Calgarians Report. The service remains a primary strength of The City. The slight drop in score from Spring 2023, while not statistically significant, may also reflect decreased service levels in response to low workforce capacity, low contractor availability and unforeseen cost escalations. For 2023-26, P&OS aims to maintain high public satisfaction through service delivery and lifecycle capital funding for repairs and replacements of aging park amenities.",Progressing as planned,Primary,07/09/2024
Parks & Open Spaces,Performance Measure 2,Calgarians Using Parks (per cent),Not Applicable,92,0,89,"The Pulse on Parks survey results for mid-year reflects the percentage of Calgarians who reported using parks in months with snow. The 2024 mid-year value is projected to be about 76 per cent (average of past mid-year values). The results for this metric will be collected in Q3 2024. Year-end scores are typically higher as they represent the percentage of Calgarians who reported using parks in the months without snow (e.g., 2023 was 91 per cent). The service aims to increase the use of parks year-round by adding more activities, amenities and infrastructure suitable for use in winter months (e.g., Crokicurl, winter golf, firepits, etc.).",Not reported,Primary,07/09/2024
Parks & Open Spaces,Performance Measure 3,"Park Assets in Acceptable, Good or Excellent Condition (per cent)",Not Applicable,77,0,78,,Not reported,Not Applicable,
Parks & Open Spaces,Performance Measure 4,Hectares of New Parkland Added (hectares),Not Applicable,48,0,115,,Not reported,Not Applicable,
Parks & Open Spaces,Performance Measure 5,Hectares of Park Habitat Restoration (hectares),Not Applicable,65,0,100,,Not reported,Not Applicable,
Pet Ownership & Licensing,Performance Measure 1,Number of pet licenses issued,Public Safety,124605,122147,145000,"Since January, over 34,000 cat licenses and almost 88,000 dog licenses have been issued. The service is proactively providing education on the benefits of pet licensing through marketing campaigns (initiative 1) and in-person communication engagements. However, the numbers are not increasing as much as the service anticipated, despite the efforts of customer service representatives in contacting citizens about their expired licenses. In today’s economy, pet owners may face a dilemma in prioritizing their pets’ license fees over other essential expenses such as groceries, mortgage/rent, and utilities.",Not progressing as planned,Primary,07/11/2024
Pet Ownership & Licensing,Performance Measure 2,"Number of volunteer hours contributing to public awareness and animal socialization programs, including the Off-Leash Ambassador Program",Not Applicable,1057,0,1000,,Not reported,Not Applicable,
Pet Ownership & Licensing,Performance Measure 3,Calgarians satisfied with the job The City is doing in providing Pet Ownership & Licensing service (per cent),Public Safety,89,87,94,"Customer satisfaction reported in the 2024 Spring Survey of Calgarians is two per cent lower than the 2023 Spring Survey. Initiatives to increase customer satisfaction in 2024 include the launch of the Wise Whiskers program, the development of a foster network under the Safe Keep program, and operational improvements to increase the number of safe-ride-home trips by peace officers for lost licensed animals found in communities.",Progressing as planned,Secondary,07/11/2024
Pet Ownership & Licensing,Performance Measure 4,Number of participants accessing the No-cost Spay and Neuter Program,Social Equity,258,151,780,"So far in 2024, 151 applicants have accessed the No Cost Spay Neuter Program, resulting in a total of 171 cats being spayed or neutered, which is similar to the first half of 2023 level of 159 cats.

The No Cost Spay Neuter Program needs to continue its focus on cats. The shelter has experienced a significant increase in the number of stray cats being admitted due to running at large. The best recourse to the overpopulation of cats is to have them spayed or neutered.",Progressing as planned,Primary,07/11/2024
Pet Ownership & Licensing,Performance Measure 5,Recovered pets successfully reunited with their families (per cent),Not Applicable,37,45,64,"Since January, the animal reunification rate has increased to 44.5 per cent up from 37 per cent at the end of 2023. Operational improvements, including an increase in safe-ride-home trips by peace officers for lost licensed animals found in communities (Initiative 4), have contributed to this progress.

When implemented, the new online pet licensing and shelter management system, which includes improved tracking of lost pets, facial recognition technology, and push notifications, is expected to further increase the reunification rate.",Progressing as planned,Primary,07/11/2024
Please select a service name,Performance Measure 1,,Not Applicable,0,0,0,,Not reported,Not Applicable,
Police Services,Performance Measure 1,Crime Severity Index,Public Safety,73,0,0,"The Crime Severity Index (CSI), released by Statistics Canada annually, shows that Calgary’s CSI decreased by 9.6% from 2022 to 2023. At 72.5, the CSI is at the lowest level in the last nine years. Significant decreases in property crimes account for the decline. The number of break and enters and vehicle thefts that are typically crimes of opportunity have not rebounded to pre-pandemic levels as people working from home provide natural surveillance. In addition, police operations have focused efforts on active break and enter offenders to reduce victimization. Calgary’s CSI is lower than the provincial (103.0) and national level (80.5).",Progressing as planned,Primary,07/31/2024
Police Services,Performance Measure 2,Calgarians that feel safe,Public Safety,0,86,0,"Calgarians’ perception of safety impacts their satisfaction with policing, socio-economic activities, and Calgary’s ability to attract new residents and visitors. Results from the 2024 Citizens Survey conducted by the Calgary Police Commission indicates that 86% of Calgarians perceive Calgary is a safe city in which to live. The 2024 Perspectives on Calgary Survey conducted by the City of Calgary that when compared with other large Canadian cities, 42% of Calgarians indicate Calgary is safer and 45% indicate it is as safe. The majority of Calgarians perceive police presence (77%) as a crucial factor that enhances their sense of safety.",Progressing as planned,Primary,07/12/2024
Police Services,Performance Measure 3,Weighted clearance rate,Not Applicable,34,0,0,Calgary’s weighted clearance rate improved by 10% between 2022 and 2023 to reach 33.9. This is the highest level since 2014. This trend is reflected in improvements on the clearance of non-violent crime that saw an increase of 16% in the same time frame. This increase is due to the focused efforts on break and enters offenders. The weighted clearance rate is a measure calculated by Statistics Canada to measure the proportion of crimes solved by the police (through charge or otherwise) and assigned a higher weight to more serious offences.,Progressing as planned,Secondary,07/31/2024
Police Services,Performance Measure 4,Calgarians that agree CPS treats all segments of the community fairly,Public Safety,0,64,0,"Fair and equitable treatment of citizens is an important outcome for the CPS’ equity, diversity, inclusion, and anti-racism efforts. The Calgary Police Commission asks in its biennial survey whether Calgarians agree that officers respond in a fair way when dealing with all segments of the community. This is one measure used to monitor progress towards equity in service delivery. Key areas of work in 2024 include the deployment of Community Engagement Response Teams, launch of Downtown Street Engagement Team, in-Service anti-racism education, and ongoing dialogue to better understand community’s perspectives about improving policing service.",Progressing as planned,Primary,07/12/2024
Police Services,Performance Measure 5,Employee Engagement Index,Public Safety,53,0,0,"Employee morale and engagement impact the quality of policing services that Calgarians receive and the health and wellness of those who serve. In 2024, the Service continued its work on the Pathways to Engagement initiative with focus on defining a long-term strategy for employee engagement, organizational culture, and morale. In 2023, the CPS achieved the first increase in the employee engagement index (EEI) since 2020, moving from 42 in 2022 to 53 in 2023. Sworn EEI improved 9 points from 34 to 43 and civilian EEI improved 11 points from 62 to 73. Survey completion rate also increased to1625; the highest number since 2019.",Progressing as planned,Secondary,07/12/2024
Procurement & Warehousing,Performance Measure 1,Request for Proposal Cycle Time (days),Not Applicable,162,174,150,"The current RFP and RFQ cycle times are underperforming at an average of 174 days and 126 days, respectively. The procurement type, complexity, internal prioritization and resourcing, and other various factors influence cycle time. In addition, activation of the Emergency Operations Centre and higher procurement volumes have also impacted performance.

The Corporation is still adapting to the Realignment and the new contract management system (SAP Ariba), and the Service has restructured to align with customer demands, new initiatives, and Council priorities.",Not progressing as planned,Secondary,07/05/2024
Real Estate,Performance Measure 3,Total number of transactions tied to social contributions,Not Applicable,62,0,36,,Not reported,Not Applicable,
Procurement & Warehousing,Performance Measure 2,Request for Quotation Cycle Time (days),Not Applicable,115,129,75,"The Service is continuing to focus on SAP Ariba training and applying customer and supplier feedback through the Operational Excellence program to improve cycle time, user experience and compliance. Procurement standing offers have been awarded to improve speed, efficiency, and value with public funds. A new dashboard is also in development to monitor real-time key metrics such as Cycle Time and a new Planning and Contract Management team has been onboarded.",Not progressing as planned,Secondary,07/05/2024
Procurement & Warehousing,Performance Measure 3,Inventory Turns per year,Not Applicable,2,2,2,"The Service is heading in the right direction by increasing the inventory turns from 1.56 in January 2023 to 1.86 by the end of June 2024. This was achieved by increasing communication with the BUs and challenging their demand needs, placing staggered inventory POs to our suppliers to better match demand and pursuing write-off opportunities for non-moving inventory.",Progressing as planned,Secondary,07/05/2024
Procurement & Warehousing,Performance Measure 4,Value through Procurement (millions of dollars),Not Applicable,5,6,12,"The mid-year value is $5.7 million which already exceeds 2024’s target of $4.7 million. This strong performance is attributed to last year’s investment in specialized negotiations training for procurement staff and monthly monitoring of the cost saving strategies. The goals for the rest of 2024 are to maintain the momentum, continue work on standardizing the data capture process, and introduce process automation for efficiency gains.",Progressing as planned,Not Applicable,07/05/2024
Procurement & Warehousing,Performance Measure 5,Category Management Commitments (millions of dollars),Not Applicable,45,92,475,"Currently, Category Management is on track to reach 2024’s target of $169 million. New categories such as Construction, and Facility Management have been initiated.  Strategies to optimize procurement and supplier performance are ongoing. Opportunities for improvement include increasing business unit awareness and dealing with supply chain constraints. The goals for the rest of 2024 consist of improving category adoption and expanding competitive market analysis. Category Management is committed to achieving its goals and delivering best value for Calgarians.",Progressing as planned,Secondary,07/05/2024
Property Assessment,Performance Measure 1,Total annual assessment base under formal complaint (per cent),Not Applicable,4,5,8,This performance measure had been steadily rising until a significant effort to turn the curve was made in 2018 leading to 2024 having some of the lowest results since moving to market value assessments in 1999. This significant turn has been primarily due to increased collaboration with non-residential property owners and their agents before property assessments are finalized and has resulted in decreased financial risk for The City.,Progressing as planned,Not Applicable,07/11/2024
Property Assessment,Performance Measure 2,Assessment customer satisfaction score (per cent),Not Applicable,81,0,80,,Not reported,Not Applicable,
Property Assessment,Performance Measure 3,Annual property assessment base maintained (per cent),Not Applicable,100,0,100,,Not reported,Not Applicable,
Property Assessment,Performance Measure 4,Overall ratio of what properties are assessed at versus what those properties sold for (per cent),Not Applicable,100,100,100,"This is the most fundamental performance measure to evaluate the quality of the property assessment roll. Commonly called the “Assessment to Sale Ratio”, anything close to 100 per cent means that, on average, properties are selling for close to what they are assessed at. Performance measure results have stayed around 100 per cent for many years due to Property Assessment's continued focus on meeting and exceeding legislated standards.",Progressing as planned,Not Applicable,07/11/2024
Property Assessment,Performance Measure 5,Service cost per property assessment account (dollars),Not Applicable,38,0,40,,Not reported,Not Applicable,
Public Transit,Performance Measure 1,Customers feeling safe (per cent),Transit,71,73,88,"We continue to see a positive trend for Customer Safety perceptions and have seen a decrease in incidents, however a significant gap to the target remains.  Implementation of the Public Transit Safety Strategy, including the transition to a district model will continue to be phased in through 2024.",Not progressing as planned,Primary,07/17/2024
Public Transit,Performance Measure 2,Bus On-Time Performance - Reliability (per cent),Transit,85,85,90,"Investments were made in 2023 to hire 800 new operators and improve fleet state of good repair. The acquisition of replacement community shuttle buses has improved fleet reliability, and as new operators mature in their roles, we expect Bus On-Time Performance to gradually improve. However, as the Calgary population grows, increased traffic volumes may impact service.  This is something we are watching closely.",Progressing as planned,Primary,07/17/2024
Public Transit,Performance Measure 3,Operating Cost per Trip (dollars),Transit,5,5,6,"Operating Cost Per Trip continues to be below the target, primarily driven by service improvements and increased ridership. Ridership in the first half of 2024 was 17 per cent higher than the same period in 2023. While strategic investments in Calgary Transit fleet will further reduce Operating Cost Per Trip, inflationary pressures continue to challenge overall operating costs.",Progressing as planned,Primary,07/17/2024
Public Transit,Performance Measure 4,Bus GHG Emissions (CO2) per 1000 km (kg),Transit,1158,0,1315,,Not reported,Not Applicable,
Public Transit,Performance Measure 5,Population within walking distance of Base & PTN Transit Service (per cent),Transit,65,0,68,,Not reported,Not Applicable,
Real Estate,Performance Measure 1,Revenue generated from surplus parcels sold (millions of dollars),Not Applicable,7,1,20,"There was approximately $1.22 million in revenue generated from surplus parcel land sales in the first six months of 2024. The ongoing priority placed on making City-owned land available for affordable housing requires parcels to be sold for below market value, which otherwise would have contributed to additional revenues to the Revolving Fund Reserve. Additionally, the focus in the first half of 2024 has been the launch of the first phase of Constellation Industrial Park and Midfield Heights (both supporting the Land Development & Sales service line), Franklin Station, and the launch of the fourth Non-Market Land Sale.",Progressing as planned,Primary,07/09/2024
"Records Management, Access & Privacy",Performance Measure 2,Physical and electronic records eligible for disposition (per cent),Not Applicable,53,25,80,"Records disposition continues to be on track to meet the expected future performance targets. Improved processes allow for greater rates of disposition of both electronic and physical records.

The year-end target in 2024 is 65%.
Although the current percentage is behind the target, it is anticipated that targets will be met by year-end.",Progressing as planned,Not Applicable,07/10/2024
"Records Management, Access & Privacy",Performance Measure 3,Volume of archival material made available online (number of descriptive records),Not Applicable,4414,1315,76000,"Efforts continue to increase the number of archival records available online.

There have been staffing gaps that will be addressed by August 2024 which will allow for anticipated targets to be reached. Currently 15% behind target.",Progressing as planned,Not Applicable,07/10/2024
"Records Management, Access & Privacy",Performance Measure 4,Privacy complaints concluded in sixty (60) days or less (per cent),Not Applicable,64,72,90,"The increase in volume (14%), the complexity of access requests, and staff movements have impacted the capacity to conclude privacy complaints; however, conclusion rates have remained steady.",Progressing as planned,Not Applicable,07/10/2024
"Records Management, Access & Privacy",Performance Measure 5,Privacy Impact Assessments (PIA) completed that required the creation of a Personal Information Bank (PIB) (per cent),Not Applicable,33,33,100,"Although there is not an increase in the creation of Personal Information Banks (PIBs), preparatory work is being undertaken to automate the PIA process to be more efficient and effective.",Progressing as planned,Not Applicable,07/10/2024
Recreation Opportunities,Performance Measure 1,Positions filled to deliver full programming and operations (per cent),Not Applicable,87,86,100,"Employee recruitment, retention and engagement remain top priorities for Recreation Opportunities in 2024. Service delivery staffing levels have stabilized and are anticipated to increase gradually as labour market conditions in the recreation sector become less volatile over the next three to five years. Several challenges, such as hiring staff with specific skills (i.e., aquatics, skating and dance), retaining entry-level employees, and managing workforce during planned facility closures for maintenance, impact current staffing levels.",Progressing as planned,Primary,07/04/2024
Recreation Opportunities,Performance Measure 2,Facility amenities operating at full capacity (per cent),Not Applicable,87,87,100,"Demand for recreation opportunities in Calgary is strong, particularly for activities significantly impacted by the pandemic (i.e., swimming lessons). Recreation Opportunities added over 2,800 additional summer swimming lesson spots to respond to demand. The number of City-run swimming lessons is expected to reach full service levels in 2025.

Operating capacity remains below target, primarily driven by staffing challenges and reduced hours at Village Square and Southland Leisure Centres. Incremental increases to facility hours are planned for the remainder of 2024, with additional increases in 2025 as staffing levels permit.",Progressing as planned,Primary,07/04/2024
Recreation Opportunities,Performance Measure 3,Customers that agree City of Calgary Recreation provides good value for money (per cent),Not Applicable,72,0,80,,Not reported,Primary,07/04/2024
Recreation Opportunities,Performance Measure 4,Fee assistance subsidy for low income Calgarians (millions of dollars),Social Equity,2,1,3,"The Recreation Fee Assistance subsidy and Calgary Transit’s Low-Income Passes continue to be the two most requested services through Calgary’s Fair Entry program. Recreation Opportunities has supported more Calgarians living with low-income to access recreation at a lower cost, with nearly 50 per cent more spent on providing subsidized access to recreation programs and services.",Progressing as planned,Primary,07/04/2024
Recreation Opportunities,Performance Measure 5,Calgarians living within a catchment area that have access to facilities with both specialized and fundamental aquatic amenities (per cent),Social Equity,71,0,61,,Not reported,Primary,07/04/2024
Sidewalks & Pathways,Performance Measure 1,Average number of days for sidewalk construction,Public Safety,10,11,12,"The average number of days for sidewalk construction remains stable. While weather and other factors can impact schedules, we continually strive to minimize these effects and maintain a high level of service. Well-maintained sidewalks enhance safety and improve accessibility. Sidewalk repairs significantly reduce the risk of tripping and falling, which helps prevent injuries and promotes safer pedestrian mobility. Our commitment to timely and efficient repair ensures minimal disruption, keeping sidewalk infrastructure readily available to Calgarians.",Progressing as planned,Primary,07/11/2024
Sidewalks & Pathways,Performance Measure 2,Material usage for environmental  sustainability (Tonnes of CO2 equivalent),Climate,305,12,1000,"With the winter season over, concrete pouring for major projects began in May. The reported quantity of General Use Lime (GUL) cement usage is 500 cubic meters, resulting in a reduction of approximately 18 tonnes of carbon to the end of June. Additional concrete work utilizing GUL cement will further increase the tonnes of CO2 equivalent and reduce our carbon footprint.",Progressing as planned,Primary,07/11/2024
Sidewalks & Pathways,Performance Measure 3,Number of traffic signals with accessible pedestrian signals,Public Safety,495,521,530,"Accessibility is an essential component of providing a mobility network that can be used by people of all ages and abilities. Traffic signals with actuated pedestrian signals provide an equitable service to vehicular, wheeling, and pedestrian traffic across the city. By continuously increasing the number of accessible pedestrian signals on pathways, sidewalks, crosswalks, and other parts of the network, we improve infrastructure accessibility and inclusivity for all Calgarians.",Progressing as planned,Primary,07/11/2024
Sidewalks & Pathways,Performance Measure 4,Number of actuated pedestrian crossing  devices,Public Safety,472,481,495,"Crossing devices that are activated by pedestrians support safe movement across road lanes. These devices include overhead flashers (252), Rectangular Rapid Flashing Beacons (210), and pedestrian signals (20). The increase in accessible pedestrian crossing devices supports multiple modes of mobility and enhances safety across the transportation network.",Progressing as planned,Primary,07/11/2024
Sidewalks & Pathways,Performance Measure 5,Snow and ice control completion on  pedestrian infrastructure within targeted  timeframes (per cent),Public Safety,74,67,95,"Despite challenges such as supply chain issues and contractor staff availability (work not completed by city forces), we remain committed to improving our service on pedestrian infrastructure. A new contract award is anticipated for the upcoming winter season, which will enhance reliability and consistency. We have consistently achieved the 24-hour clearing timeframe, and the average time to complete clearing continues to trend favourably, averaging approximately 25 hours. Extreme snow events, including the record snowfall in March 2024, impacted this measure, our efforts demonstrate resilience and efficiency in maintaining timely service.",Progressing as planned,Primary,07/11/2024
Social Programs,Performance Measure 1,Youth who agree YEC has increased their ability to find employment (per cent),Social Equity,84,78,85,"The Youth Employment Centre (YEC) provides Calgarians ages 15-24 with employment readiness skills to secure jobs, which in turn provide investment in the local economy and strengthen economic resilience. In May, Alberta had the highest youth unemployment rate in Canada (16.6 per cent vs. the national average of 12.6 per cent). Current economic and local labour market conditions make it difficult for youth to secure employment in Calgary. Although a slight decrease has occurred in the per cent of youth who agree YEC has increased their ability to find employment, nine out of 10 clients are satisfied with the overall service provided by YEC.",Progressing as planned,Primary,07/04/2024
Social Programs,Performance Measure 2,Average number of Fair Entry services applied for,Social Equity,2,2,3,"Launched in November 2023, the High-Speed Low-Cost Internet subsidy is now the third most requested service through the Fair Entry program, behind only the Low Income Transit Pass and Recreation Fee Assistance. Fair Entry is seeing a higher-than-average uptake from Calgarians living with low-income. Comparing 2023 January – May to the same period in 2024 there has been an 18 per cent increase in applications to Fair Entry. Increased levels of international and interprovincial migration, combined with the current affordability crisis, continue to drive high demand for Fair Entry.",Progressing as planned,Primary,07/04/2024
